_id,שם התכשיר,שם בעל תעודת הרישום,מספר רשום,תוארית,תאריך תפוגה,חומרים פעילים,יעוד התכשיר,רשאים להשתמש בתכשיר
1,C-365,"סאסאטק אגש""ח בע""מ",557,אירוסול,01/01/2022,"cyfluthrin  0.15%, piperonyl butoxide  0.5%, tetramethrin  0.15%","זבובים בוגרים, חרקים מעופפים אחרים, יתושים בוגרים",הקהל הרחב
2,C363,"אקו-כם פילד סיסטמס בע""מ",562,ג'ל,16/03/2023,fipronil  0.05%,תיקנים,הקהל הרחב
3,K 300,"סנו מפעלי ברונוס בע""מ",594,אירוסול,22/02/2027,"lambda-cyhalothrin  0.03%, piperonyl butoxide  1.0%, prallethrin  0.1%","חרקים זוחלים אחרים, נמלים, תיקנים",הקהל הרחב
4,K 300 פלוס 8,"סנו מפעלי ברונוס בע""מ",595,אירוסול,22/02/2027,"lambda-cyhalothrin  0.03%, novaluron  0.1%, prallethrin  0.1%","חרקים זוחלים אחרים, נמלים, תיקנים",הקהל הרחב
5,K 500,"סנו מפעלי ברונוס בע""מ",596,אירוסול,22/02/2027,"lambda-cyhalothrin  0.03%, prallethrin  0.1%","חרקים זוחלים אחרים, נמלים, תיקנים",הקהל הרחב
6,K3 פיתיון ג'ל,"סנו מפעלי ברונוס בע""מ",628,ג'ל,08/08/2027,fipronil  0.05%,תיקנים,הקהל הרחב
7,K3 תחנת פתיון,"סנו מפעלי ברונוס בע""מ",635,פתיון מוכן לשימוש בקופסת האכלה,24/01/2028,fipronil  0.05%,תיקנים,הקהל הרחב
8,אגיטה 10 לתברואה,"אביק מעבדות ביולוגיות בע""מ בית שמש",469,גרגרים רחיפים,29/05/2022,thiamethoxam  10.0%,זבובים בוגרים,מדבירים בלבד
9,אגרימור - פתיון לנמלים,"אגרימור ישראל בע""מ",465,פתיון מוכן לשימוש בקופסת האכלה,19/07/2022,S-methoprene  0.5%,נמלים,הקהל הרחב
10,אדוויון 20,"זרעים גדרה בע""מ",641,גרגרים רחיפים,08/12/2022,indoxacarb  20.0%,נמלים,מדבירים בלבד
11,אדוויון פתיון גרגרי להדברת נמלת האש,"זרעים גדרה בע""מ",524,גרגרים,19/03/2022,indoxacarb  0.045%,נמלת האש הקטנה,הקהל הרחב
12,אדמירל,"אדמה מכתשים בע""מ- באר שבע",492,תרכיז רחיף,22/06/2022,bifenthrin  7.9%,"טרמיטים, נמלים, פרעושים, תיקנים",מדבירים בלבד
13,אודם,"רימי להגנת הצומח והסביבה בע""מ",653,תרכיז רחיף,11/03/2024,"bifenthrin  4.0%, imidacloprid  5.0%","חרקים זוחלים אחרים, נמלים, תיקנים",מדבירים בלבד
14,איזופטרה,אר.פי.סי החברה להדברה,593,פתיון מוכן לשימוש אבקה,08/11/2024,fipronil  0.05%,טרמיטים,מדבירים בלבד
15,אימידסקט נמלים,"אשמדון בע""מ",637,ג'ל,05/03/2022,imidacloprid  0.001%,נמלים,הקהל הרחב
16,אימידסקט תיקנים,"אשמדון בע""מ",633,ג'ל,22/01/2022,imidacloprid  2.15%,תיקנים,הקהל הרחב
17,אימפקט,"אקו-כם פילד סיסטמס בע""מ",598,תרכיז רחיף,05/10/2027,"cypermethrin  20.0%, cyromazine  5.0%",פרעושים,מדבירים בלבד
18,אינוויקט גולד,"חברת רימי כימיקלים בע""מ",504,ג'ל,17/01/2022,imidacloprid  2.15%,תיקנים,הקהל הרחב
19,אלמוג,"רימי להגנת הצומח והסביבה בע""מ",646,תרכיז רחיף,31/05/2023,deltamethrin  4.75%,"חרקים זוחלים אחרים, נמלים, תיקנים",מדבירים בלבד
20,אלפא ג'ל,רועי נעים,620,ג'ל,24/01/2024,fipronil  0.01%,"טרמיטים, נמלים",מדבירים בלבד
21,אנט ג'ל,"סיקמקס בע""מ",619,ג'ל,15/02/2022,fipronil  0.01%,נמלים,הקהל הרחב
22,אנטיפליי,"חברת רימי כימיקלים בע""מ",491,נוזל,18/03/2022,dinotefuran  0.3%,זבובים בוגרים,הקהל הרחב
23,אנטקלין,"אורגני שלי בע""מ",551,מוצק,12/07/2022,Acetamiprid  0.1,נמלים,הקהל הרחב
24,אקואטיין AMF,"לוכסמבורג תעשיות בע""מ",552,נוזל,04/08/2022,silicone fluid  87.5%,זחלי יתושים,הקהל הרחב
25,באג,"אקו-כם פילד סיסטמס בע""מ",581,תרכיז רחיף,31/05/2024,"bifenthrin  4.0%, imidacloprid  5.0%",יתושים בוגרים,מדבירים בלבד
26,באג-אוף,"אקו רד (כמיארט) בע""מ",577,תמיסה מוכנה לשימוש בתוארית מיקרוקפסולרית,27/03/2023,"MGK 264  0.165%, cypermethrin  0.39%, deltamethrin  0.045%, piperonyl butoxide  0.06%","חרקים זוחלים אחרים, נמלים, תיקנים",הקהל הרחב
27,בזלת,"חברת רימי כימיקלים בע""מ",553,פתיון מוכן לשימוש גרגירים,17/02/2022,"hydramethylnon  0.365%, methoprene  0.25%","נמלים, נמלת האש הקטנה",הקהל הרחב
28,בי-10,"סיקמקס בע""מ",589,תרכיז מתחלב,31/05/2024,bifenthrin  10.0%,תיקנים,מדבירים בלבד
29,בלוקיון פלוס,אר.פי.סי החברה להדברה,585,בלוק,07/06/2024,brodifacoum  0.005%,"חולדות, עכברים",מדבירים בלבד
30,בנגל פלוס,"גורי ע.ע.ע. בע""מ",507,סלילים,28/03/2023,d-allethrin  0.19%,יתושים בוגרים,הקהל הרחב
31,בק תוש,ביו דליה טכנולוגיות,207,תרכיז נוזלי,22/07/2026,bacillus thuringiensis var israelensis  1200 ITU/mg,זחלי יתושים,הקהל הרחב
32,ברודיטופ וקס בלוק,"תפזול תעשיות כימיות בע""מ",457,פתיון מוכן לשימוש בלוקים,19/12/2024,brodifacoum  0.005%,"חולדות, עכברים",מדבירים בלבד
33,ברקת,"חברת רימי כימיקלים בע""מ",488,מיקרואמולסיה,18/07/2027,"MGK 264  6.4%, cypermethrin  20.0%, pyriproxyfen  0.8%",פרעושים,מדבירים בלבד
34,גולית ג'ל,"נורון חברה לייבוא ולייצור בע""מ",636,ג'ל,19/02/2022,fipronil  0.05%,תיקנים,הקהל הרחב
35,גירית,"אקו-כם פילד סיסטמס בע""מ",639,גרגרים,17/02/2023,fipronil  0.01%,"נמלים, נמלת האש הקטנה",הקהל הרחב
36,גרנולר - פיתיוןגרגירי לנמלת האש הקטנה ונמלים אחר,אר.פי.סי החברה להדברה,579,פתיון מוכן לשימוש גרגירים,13/02/2024,fipronil  0.05%,"נמלים, נמלת האש הקטנה",הקהל הרחב
37,דורסיד אבקה,אר.פי.סי החברה להדברה,572,אבקה,03/04/2023,cypermethrin  0.6%,"חרקים זוחלים אחרים, נמלים, תיקנים",מדבירים בלבד
38,די תוש ספריי קוטל חרקים מעופפים,"סאסאטק אגש""ח בע""מ",385,אירוסול,08/05/2022,"bioallethrin  0.15%, piperonyl butoxide  0.6%, tetramethrin  0.15%","זבובים בוגרים, חרקים מעופפים אחרים, יתושים בוגרים",הקהל הרחב
39,דינופליי,"חברת רימי כימיקלים בע""מ",435,אבקה מסיסה,01/01/2025,dinotefuran  12.0%,"זבובים בוגרים, פישפשי מיטה",מדבירים בלבד
40,דיפון 100,אר.פי.סי החברה להדברה,624,תרסיס,18/04/2022,difenacoum  0.075%,"חולדות, עכברים",מדבירים בלבד
41,דיפטרון א'.ס'.,אר.פי.סי החברה להדברה,630,נוזל,27/01/2022,"Etofenprox  10.0%, piperonyl butoxide  20.0%","זבובים בוגרים, חרקים זוחלים אחרים, חרקים מעופפים אחרים, יתושים בוגרים, נמלים, פישפשי מיטה, פרוקי רגלים אחרים, פרעושים, צרעות, תיקנים",מדבירים בלבד
42,דלתא מקס,"סיקמקס בע""מ",597,נוזל,20/01/2026,"deltamethrin  1.6%, piperonyl butoxide  5.0%, pyriproxyfen  1.0%",פרעושים,מדבירים בלבד
